product_id,product_name,category,price
1,도서 상품 001,도서,61000.0
2,전자기기 상품 002,전자기기,154000.0
3,뷰티 상품 003,전자기기,48000.0
4,패션 상품 004,패션,33000.0
5,스포츠 상품 005,스포츠,73000.0
6,도서 상품 006,도서,134000.0
7,전자기기 상품 007,전자기기,161000.0
8,뷰티 상품 008,뷰티,18000.0
9,생활용품 상품 009,생활용품,75000.0
10,뷰티 상품 010,뷰티,169000.0
11,뷰티 상품 011,뷰티,58000.0
12,스포츠 상품 012,스포츠,91000.0
13,스포츠 상품 013,스포츠,18000.0
14,식품 상품 014,식품,17000.0
15,패션 상품 015,패션,75000.0
16,뷰티 상품 016,뷰티,21000.0
17,생활용품 상품 017,생활용품,76000.0
19,도서 상품 019,도서,127000.0
20,도서 상품 020,도서,79000.0
21,스포츠 상품 021,스포츠,11000.0
22,식품 상품 022,식품,181000.0
23,패션 상품 023,패션,197000.0
24,패션 상품 024,패션,42000.0
25,생활용품 상품 025,생활용품,52000.0
26,뷰티 상품 026,뷰티,79000.0
27,뷰티 상품 027,전자 기기,21000.0
28,생활용품 상품 028,생활용품,147000.0
29,생활용품 상품 029,생활용품,31000.0
30,도서 상품 030,도서,149000.0
31,패션 상품 031,패션,155000.0
32,식품 상품 032,식품,140000.0
33,뷰티 상품 033,뷰티,44000.0
34,뷰티 상품 034,뷰티,110000.0
35,스포츠 상품 035,스포츠,53000.0
36,뷰티 상품 036,뷰티,193000.0
37,식품 상품 037,식품,92000.0
38,뷰티 상품 038,뷰티,25000.0
39,뷰티 상품 039,뷰티,172000.0
40,도서 상품 040,도서,182000.0
41,식품 상품 041,식품,119000.0
42,뷰티 상품 042,뷰티,71000.0
43,식품 상품 043,식품,158000.0
44,스포츠 상품 044,생활용품,29000.0
45,전자기기 상품 045,전자기기,97000.0
46,생활용품 상품 046,생활용품,87000.0
47,뷰티 상품 047,뷰티,188000.0
49,식품 상품 049,식품,171000.0
50,도서 상품 050,도서,103000.0
51,패션 상품 051,패션,183000.0
52,생활용품 상품 052,생활용품,88000.0
53,전자기기 상품 053,전자기기,105000.0
54,전자기기 상품 054,전자기기,152000.0
55,뷰티 상품 055,뷰티,52000.0
56,생활용품 상품 056,생활 용품,124000.0
57,도서 상품 057,도서,96000.0
58,식품 상품 058,식품,55000.0
59,스포츠 상품 059,스포츠,5000.0
60,뷰티 상품 060,뷰티,26000.0
61,패션 상품 061,패션,28000.0
62,전자기기 상품 062,전자기기,82000.0
63,스포츠 상품 063,스포츠,141000.0
64,뷰티 상품 064,뷰티,149000.0
65,식품 상품 065,식품,193000.0
66,생활용품 상품 066,생활용품,41000.0
67,도서 상품 067,도서,145000.0
68,전자기기 상품 068,전자기기,149000.0
69,식품 상품 069,식품,11000.0
70,도서 상품 070,패션,168000.0
71,식품 상품 071,식품,188000.0
72,식품 상품 072,식품,195000.0
74,전자기기 상품 074,전자기기,129000.0
75,스포츠 상품 075,스포츠,183000.0
76,스포츠 상품 076,스포츠,56000.0
77,패션 상품 077,패션,111000.0
78,스포츠 상품 078,뷰 티,54000.0
79,스포츠 상품 079,스포츠,153000.0
80,패션 상품 080,패션,187000.0
81,도서 상품 081,도서,79000.0
82,패션 상품 082,패션,170000.0
83,도서 상품 083,도서,74000.0
84,식품 상품 084,식품,42000.0
85,전자기기 상품 085,전자기기,38000.0
86,전자기기 상품 086,전자기기,145000.0
87,패션 상품 087,패션,93000.0
88,식품 상품 088,식품,176000.0
89,전자기기 상품 089,전자기기,178000.0
90,도서 상품 090,도서,85000.0
91,전자기기 상품 091,전자기기,125000.0
92,식품 상품 092,식품,74000.0
93,식품 상품 093,식품,121000.0
94,패션 상품 094,패션,85000.0
96,패션 상품 096,패션,96000.0
97,패션 상품 097,패션,187000.0
98,패션 상품 098,패션,32000.0
99,뷰티 상품 099,뷰티,9999999.0
100,도서 상품 100,도서,34000.0
